timestamp_relative,shoulder_pan_joint_desired_pos,shoulder_lift_joint_desired_pos,elbow_joint_desired_pos,wrist_1_joint_desired_pos,wrist_2_joint_desired_pos,wrist_3_joint_desired_pos,shoulder_pan_joint_actual_pos,shoulder_lift_joint_actual_pos,elbow_joint_actual_pos,wrist_1_joint_actual_pos,wrist_2_joint_actual_pos,wrist_3_joint_actual_pos,shoulder_pan_joint_desired_vel,shoulder_lift_joint_desired_vel,elbow_joint_desired_vel,wrist_1_joint_desired_vel,wrist_2_joint_desired_vel,wrist_3_joint_desired_vel,shoulder_pan_joint_actual_vel,shoulder_lift_joint_actual_vel,elbow_joint_actual_vel,wrist_1_joint_actual_vel,wrist_2_joint_actual_vel,wrist_3_joint_actual_vel
0.000000340,-2.089082701,-0.497086050,0.889051081,-0.363976426,0.961946347,1.558035384,-2.089083020,-0.497082059,0.889043987,-0.363972966,0.961946011,1.558029056,0.000116270,-0.001453809,0.002584094,-0.001260075,0.000122649,0.002306166,-0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.047895442,-2.089004130,-0.498055356,0.890770876,-0.364813858,0.962029790,1.559583037,-2.089079682,-0.497126404,0.889122665,-0.364011113,0.961949646,1.558099627,0.003720022,-0.045564584,0.080764170,-0.039296996,0.003964750,0.073005925,0.000323009,-0.003997879,0.007096650,-0.003458795,0.000339279,0.006365741
0.063784952,-2.088931992,-0.498934742,0.892328590,-0.365571399,0.962106853,1.560995312,-2.089067761,-0.497272793,0.889382660,-0.364137952,0.961962163,1.558332920,0.005300942,-0.064332801,0.113887006,-0.055358298,0.005675149,0.103542895,0.000994025,-0.012291351,0.021816228,-0.010628561,0.001054214,0.019596791
0.079925612,-2.088835002,-0.500105425,0.894399463,-0.366577413,0.962210963,1.562884557,-2.089056317,-0.497411553,0.889629066,-0.364258114,0.961974144,1.558554530,0.006786813,-0.081486495,0.144039032,-0.069932448,0.007303507,0.131844989,0.001491160,-0.018361561,0.032586407,-0.015870214,0.001585989,0.029320687
0.095824940,-2.088715812,-0.501527635,0.896911233,-0.367796065,0.962339607,1.565192761,-2.089019124,-0.497867409,0.890437126,-0.364651028,0.962013781,1.559283614,0.008077061,-0.095785904,0.169020836,-0.081948564,0.008742970,0.155931938,0.002812658,-0.034435406,0.061038893,-0.029691728,0.003001108,0.055153545
0.111872390,-2.088577582,-0.503155417,0.899780694,-0.369186200,0.962489725,1.567851937,-2.088945214,-0.498765294,0.892027020,-0.365423981,0.962092757,1.560727477,0.009130112,-0.106762009,0.188010805,-0.091010594,0.009947510,0.175020850,0.005359944,-0.065005213,0.115078092,-0.055924747,0.005738535,0.104682125
0.127783805,-2.088424626,-0.504930236,0.902902711,-0.370696137,0.962656962,1.570772752,-2.088840310,-0.500032727,0.894268930,-0.366513077,0.962205768,1.562774897,0.009948492,-0.114552825,0.201279499,-0.097260089,0.010915240,0.189249164,0.007037431,-0.084623784,0.149592549,-0.072628804,0.007575787,0.136887014
0.143879362,-2.088259965,-0.506811073,0.906203603,-0.372289653,0.962838273,1.573892633,-2.088713471,-0.501544778,0.896939337,-0.367808167,0.962342739,1.565230012,0.010591996,-0.120042559,0.210430950,-0.101491559,0.011703395,0.199914939,0.008242575,-0.097874492,0.172745779,-0.083770454,0.008918502,0.159219831
0.159761682,-2.088085956,-0.508768481,0.909631035,-0.373941229,0.963031169,1.577164850,-2.088570420,-0.503226582,0.899903715,-0.369244401,0.962497950,1.567977905,0.011168288,-0.124766542,0.218239012,-0.105074701,0.012417458,0.209308853,0.009143932,-0.107141867,0.188737035,-0.091392487,0.009958941,0.175475135
0.175832638,-2.087903165,-0.510799403,0.913180526,-0.375649045,0.963234882,1.580581475,-2.088414971,-0.505030934,0.903077722,-0.370779816,0.962668061,1.570947766,0.011834364,-0.130919664,0.228660017,-0.109959686,0.013213120,0.220735108,0.009873639,-0.113980599,0.200342044,-0.096838765,0.010825716,0.188080564
