timestamp_relative,shoulder_pan_joint_desired_pos,shoulder_lift_joint_desired_pos,elbow_joint_desired_pos,wrist_1_joint_desired_pos,wrist_2_joint_desired_pos,wrist_3_joint_desired_pos,shoulder_pan_joint_actual_pos,shoulder_lift_joint_actual_pos,elbow_joint_actual_pos,wrist_1_joint_actual_pos,wrist_2_joint_actual_pos,wrist_3_joint_actual_pos,shoulder_pan_joint_desired_vel,shoulder_lift_joint_desired_vel,elbow_joint_desired_vel,wrist_1_joint_desired_vel,wrist_2_joint_desired_vel,wrist_3_joint_desired_vel,shoulder_pan_joint_actual_vel,shoulder_lift_joint_actual_vel,elbow_joint_actual_vel,wrist_1_joint_actual_vel,wrist_2_joint_actual_vel,wrist_3_joint_actual_vel
0.000000353,-2.089009629,-0.497083144,0.888910538,-0.363973799,0.962049469,1.557950606,-2.089010064,-0.497077767,0.888900995,-0.363969151,0.962049007,1.557942033,0.000159209,-0.001968045,0.003492857,-0.001701043,0.000169075,0.003139171,0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.047764374,-2.088904923,-0.498362186,0.891176897,-0.365076130,0.962161316,1.560002602,-2.089007203,-0.497116868,0.888969958,-0.364002530,0.962052226,1.558004141,0.004844321,-0.058784811,0.104066959,-0.050580646,0.005191402,0.094616513,0.000387639,-0.004831456,0.008579905,-0.004189374,0.000418740,0.007736962
0.063972762,-2.088812382,-0.499480147,0.893154807,-0.366037004,0.962260701,1.561805955,-2.088990990,-0.497313801,0.889318943,-0.364172761,0.962069392,1.558319449,0.006713194,-0.080754670,0.142787112,-0.069333856,0.007224420,0.130537053,0.001359821,-0.016663203,0.029525703,-0.014374459,0.001456574,0.026690273
0.079684970,-2.088691581,-0.500925641,0.895708782,-0.367276427,0.962391028,1.564148639,-2.088954274,-0.497759644,0.890109181,-0.364557091,0.962108552,1.559035420,0.008332292,-0.099182468,0.175111831,-0.084930801,0.009011581,0.161159849,0.002772400,-0.033805620,0.059888270,-0.029125396,0.002973711,0.054320268
0.095845271,-2.088548040,-0.502623664,0.898704090,-0.368728164,0.962546724,1.566916254,-2.088891331,-0.498521630,0.891458571,-0.365212742,0.962176025,1.560262680,0.009585987,-0.112686172,0.198599647,-0.096186803,0.010428078,0.184243834,0.004496665,-0.054390561,0.096256733,-0.046768311,0.004830484,0.087656997
0.111665390,-2.088387100,-0.504501897,0.902010865,-0.370328392,0.962722385,1.569998328,-2.088799779,-0.499623601,0.893406868,-0.366158787,0.962274492,1.562042713,0.010460219,-0.121177128,0.213113655,-0.103042992,0.011455341,0.199581623,0.006274838,-0.075303383,0.133110762,-0.064614087,0.006753182,0.121816814
0.127851890,-2.088214996,-0.506479656,0.905485046,-0.372006622,0.962911544,1.573268966,-2.088681046,-0.501042668,0.895912886,-0.367374722,0.962402880,1.564345360,0.011020454,-0.125622588,0.220408416,-0.106368328,0.012156151,0.208593660,0.007920939,-0.094114438,0.166136324,-0.080565244,0.008552676,0.152970433
0.143675689,-2.088035678,-0.508507214,0.909038162,-0.373719685,0.963110046,1.576649544,-2.088538472,-0.502722565,0.898874998,-0.368810002,0.962557197,1.567085981,0.011426762,-0.128207262,0.224410757,-0.108094083,0.012691702,0.214605083,0.009245884,-0.108762056,0.191679269,-0.092842065,0.010053360,0.177801996
0.159808565,-2.087848481,-0.510593926,0.912687091,-0.375475905,0.963318547,1.580154102,-2.088378731,-0.504588906,0.902160466,-0.370399777,0.962732196,1.570150852,0.011931994,-0.132302006,0.231162057,-0.111184919,0.013320049,0.222802661,0.010238311,-0.118768543,0.208914787,-0.101026796,0.011210490,0.195470110
0.175700127,-2.087651716,-0.512770907,0.916489502,-0.377304320,0.963538401,1.583824502,-2.088206116,-0.506571595,0.905643404,-0.372082059,0.962921977,1.573430538,0.012693122,-0.140394200,0.245206567,-0.117907814,0.014183546,0.236774401,0.010908249,-0.124704368,0.218881264,-0.105674103,0.012020237,0.206784517
