timestamp_absolute,timestamp_relative,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel
1769530772.729174614,0.000000000,-2.089089219,-0.497059170,0.888913989,-0.363943879,0.961947978,1.557958961,0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
1769530772.829174519,0.100000000,-2.087864767,-0.511270126,0.913913714,-0.376034907,0.963287311,1.581341404,0.024766471,-0.284617002,0.499971199,-0.241536442,0.027209005,0.470691720
1769530772.929174662,0.200000000,-2.083962991,-0.553574499,0.987573720,-0.411367092,0.967682444,1.653406438,0.054059575,-0.554249073,0.956390299,-0.455227672,0.062297998,0.970769516
1769530773.029174566,0.300000000,-2.076832160,-0.620592146,1.101488771,-0.464813450,0.976180972,1.775500847,0.090026072,-0.779101956,1.303718865,-0.601789307,0.110439930,1.471115505
1769530773.129174709,0.400000000,-2.065569848,-0.708244353,1.244931880,-0.529272361,0.990457218,1.947628469,0.137707914,-0.969873958,1.550135506,-0.674920115,0.179199823,1.971427021
1769530773.229174614,0.500000000,-2.049819609,-0.807490674,1.398907020,-0.593273240,1.011412020,2.155556220,0.171719776,-0.974485247,1.464241244,-0.575349581,0.232120566,2.094395355
1769530773.329174519,0.600000000,-2.031166434,-0.903294939,1.537969133,-0.644190678,1.036822413,2.364995745,0.202265806,-0.945161171,1.321835689,-0.443780885,0.276534735,2.094395272
1769530773.429174662,0.700000000,-2.009162321,-0.997118746,1.663982401,-0.682061507,1.066818641,2.574435266,0.238958573,-0.933828608,1.200911282,-0.313290938,0.323964105,2.094395174
1769530773.529174566,0.800000000,-1.983111639,-1.090489172,1.778472526,-0.706696084,1.101756456,2.783874786,0.283499144,-0.935340311,1.089799261,-0.178431064,0.375596454,2.094395185
1769530773.629174709,0.900000000,-1.952136410,-1.184469830,1.882006002,-0.717524372,1.142131001,2.993314307,0.337867208,-0.945332363,0.980650328,-0.036932632,0.433063503,2.094395114
1769530773.729174614,1.000000000,-1.917332927,-1.274419970,1.969694137,-0.714449861,1.185918373,3.191263143,0.349066010,-0.834761822,0.761361148,0.089576137,0.431195115,1.824506384
1769530773.829174519,1.100000000,-1.882426165,-1.352243774,2.036435282,-0.701217755,1.228308455,3.360464855,0.349066113,-0.725998172,0.583071687,0.168712617,0.416981090,1.571181187
1769530773.929174662,1.200000000,-1.847519565,-1.420302384,2.087860185,-0.681734355,1.269388758,3.507422895,0.349065956,-0.638013804,0.451787623,0.216844011,0.404993543,1.376095909
1769530774.029174566,1.300000000,-1.812612968,-1.480315325,2.127846557,-0.658525030,1.309375076,3.637049099,0.349065929,-0.564260625,0.352334487,0.244625937,0.395049848,1.222253373
1769530774.129174709,1.400000000,-1.777706374,-1.533488983,2.159069299,-0.633270243,1.348455478,3.752864046,0.349065907,-0.500721385,0.275275904,0.258631734,0.386820637,1.098362498
1769530774.229174614,1.500000000,-1.746981043,-1.575357773,2.180837177,-0.610258184,1.382230348,3.845467358,0.237428749,-0.307096202,0.150420354,0.179033821,0.258990056,0.685811631
1769530774.329174519,1.600000000,-1.731587137,-1.594765525,2.190068588,-0.598638862,1.398962467,3.889046784,0.066852289,-0.082295469,0.038054105,0.050479399,0.072429492,0.185781763
1769530774.429174662,1.700000000,-1.726539247,-1.600979494,2.192941989,-0.594827272,1.404431481,3.883284922,-0.000000024,0.000000121,0.000000092,-0.000000214,-0.000000026,-0.293623698
1769530774.529174566,1.800000000,-1.726539251,-1.600979472,2.192942006,-0.594827311,1.404431476,3.828922993,-0.000000066,0.000000327,0.000000249,-0.000000578,-0.000000071,-0.793616452
1769530774.629174709,1.900000000,-1.726539260,-1.600979429,2.192942039,-0.594827387,1.404431467,3.724561663,-0.000000108,0.000000533,0.000000407,-0.000000941,-0.000000115,-1.293609990
1769530774.729174614,2.000000000,-1.726539279,-1.600979369,2.192942089,-0.594827497,1.404431447,3.570200967,-0.000000386,0.000000586,0.000000642,-0.000001226,-0.000000396,-1.793603463
