timestamp_relative,shoulder_pan_joint_desired_pos,shoulder_lift_joint_desired_pos,elbow_joint_desired_pos,wrist_1_joint_desired_pos,wrist_2_joint_desired_pos,wrist_3_joint_desired_pos,shoulder_pan_joint_actual_pos,shoulder_lift_joint_actual_pos,elbow_joint_actual_pos,wrist_1_joint_actual_pos,wrist_2_joint_actual_pos,wrist_3_joint_actual_pos,shoulder_pan_joint_desired_vel,shoulder_lift_joint_desired_vel,elbow_joint_desired_vel,wrist_1_joint_desired_vel,wrist_2_joint_desired_vel,wrist_3_joint_desired_vel,shoulder_pan_joint_actual_vel,shoulder_lift_joint_actual_vel,elbow_joint_actual_vel,wrist_1_joint_actual_vel,wrist_2_joint_actual_vel,wrist_3_joint_actual_vel
0.000000370,-2.088967796,-0.497028672,0.889089843,-0.364012529,0.962071324,1.558051110,-2.088968102,-0.497024838,0.889083028,-0.364009205,0.962071002,1.558045030,0.000113208,-0.001416083,0.002516955,-0.001227302,0.000119357,0.002246348,-0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000
0.048107456,-2.088889006,-0.498001006,0.890814940,-0.364852515,0.962154960,1.559603657,-2.088964764,-0.497069184,0.889161825,-0.364047829,0.962074637,1.558115363,0.003725008,-0.045640372,0.080895070,-0.039359306,0.003968204,0.073130657,0.000317094,-0.003996439,0.007101125,-0.003457860,0.000339279,0.006351362
0.063864925,-2.088817363,-0.498874665,0.892362451,-0.365605071,0.962231457,1.561006775,-2.088952843,-0.497216050,0.889422417,-0.364174668,0.962087274,1.558349252,0.005294850,-0.064283533,0.113795893,-0.055312441,0.005665840,0.103465113,0.000995949,-0.012343317,0.021909321,-0.010665902,0.001067605,0.019686703
0.080052649,-2.088719884,-0.500051672,0.894444431,-0.366616448,0.962336043,1.562906281,-2.088941399,-0.497355286,0.889669716,-0.364294831,0.962099314,1.558571815,0.006788266,-0.081530483,0.144110662,-0.069964807,0.007301743,0.131921775,0.001494519,-0.018427281,0.032694731,-0.015923616,0.001591904,0.029433159
0.096247380,-2.088601130,-0.501469164,0.896947767,-0.367830969,0.962464157,1.565206899,-2.088904683,-0.497809235,0.890474141,-0.364686314,0.962138653,1.559297919,0.008073421,-0.095777907,0.169000490,-0.081936260,0.008734956,0.155922236,0.002741381,-0.033511456,0.059386410,-0.028900933,0.002905154,0.053672247
0.112050104,-2.088463106,-0.503095127,0.899813919,-0.369219461,0.962613981,1.567863148,-2.088838879,-0.498608414,0.891889274,-0.365374867,0.962208688,1.560582161,0.009125430,-0.106748160,0.187979870,-0.090993099,0.009937801,0.175000314,0.005041432,-0.061247360,0.108420007,-0.052700382,0.005401098,0.098602876
0.128099816,-2.088310581,-0.504865671,0.902928317,-0.370725675,0.962780670,1.570776936,-2.088733975,-0.499874894,0.894129276,-0.366462533,0.962321460,1.562627912,0.009942355,-0.114530280,0.201233924,-0.097235825,0.010903389,0.189210539,0.007151078,-0.085940734,0.151927933,-0.073766120,0.007689822,0.139028296
0.143987192,-2.088145485,-0.506752219,0.906239120,-0.372323934,0.962962377,1.573906306,-2.088604275,-0.501420800,0.896859109,-0.367786709,0.962461293,1.565137386,0.010588030,-0.120041982,0.210422092,-0.101484378,0.011693916,0.199917391,0.008416232,-0.100060679,0.176597908,-0.085628405,0.009101383,0.162741527
0.160026842,-2.087971684,-0.508708015,0.909663604,-0.373974044,0.963154959,1.577175875,-2.088458840,-0.503135029,0.899881303,-0.369251076,0.962619364,1.567938328,0.011163656,-0.124761736,0.218222635,-0.105063919,0.012406981,0.209303449,0.009296633,-0.109092712,0.192162335,-0.093046196,0.010126332,0.178619206
0.176196788,-2.087788099,-0.510748473,0.913229615,-0.375689755,0.963359472,1.580608631,-2.088301484,-0.504962269,0.903094828,-0.370805089,0.962791204,1.570944428,0.011832768,-0.130945869,0.228695944,-0.109973389,0.013205985,0.220786636,0.009972583,-0.115081422,0.202282459,-0.097772166,0.010904750,0.189857706
0.192331607,-2.087591987,-0.512915747,0.917013936,-0.377509241,0.963578465,1.584265686,-2.088134591,-0.506870095,0.906443715,-0.372422043,0.962974846,1.574108720,0.012644934,-0.139818604,0.244159132,-0.117402425,0.014115952,0.235907330,0.010530673,-0.119772866,0.210049450,-0.101341121,0.011614273,0.199149579
0.208183268,-2.087384545,-0.515217200,0.921034880,-0.379443615,0.963809675,1.588143587,-2.087958638,-0.508852784,0.909916103,-0.374095265,0.963169754,1.577421546,0.013367090,-0.148912337,0.260329462,-0.125310422,0.014870069,0.250493662,0.011107606,-0.124551594,0.217979133,-0.104994826,0.012325111,0.208577543
0.224388896,-2.087164946,-0.517675880,0.925336366,-0.381515588,0.964053393,1.592270896,-2.087866608,-0.509876553,0.911706686,-0.374957387,0.963271677,1.579140067,0.014042975,-0.158008820,0.276640398,-0.133344896,0.015549088,0.264702230,0.011424957,-0.127449855,0.222861394,-0.107272133,0.012703286,0.214015856
0.240421872,-2.086933172,-0.520295567,0.929925936,-0.383729195,0.964309477,1.596651346,-2.087674920,-0.512008492,0.915431440,-0.376749341,0.963485599,1.582727671,0.014714549,-0.166967934,0.292687809,-0.141242305,0.016227404,0.278744686,0.012247093,-0.135954291,0.237532541,-0.114266649,0.013668719,0.229003489
0.256195349,-2.086693407,-0.523023146,0.934709037,-0.386038182,0.964573567,1.601200304,-2.087442700,-0.514590565,0.919944644,-0.378920857,0.963744283,1.587075353,0.015402369,-0.175513998,0.307857554,-0.148649606,0.016950940,0.292527830,0.015146711,-0.168684050,0.294861525,-0.141919866,0.016863458,0.283841252
0.271822585,-2.086441312,-0.525895454,0.939747053,-0.388470789,0.964851015,1.605988216,-2.087189023,-0.517427270,0.924906015,-0.381310288,0.964026093,1.591840148,0.016141475,-0.183710631,0.322175217,-0.155542083,0.017773558,0.306400210,0.015866790,-0.177765936,0.311036468,-0.149841636,0.017602317,0.298319846
0.287890711,-2.086177236,-0.528891650,0.944999108,-0.391005412,0.965142210,1.610992485,-2.086932484,-0.520312134,0.929957509,-0.383745495,0.964309752,1.596671820,0.016943904,-0.191470912,0.335430940,-0.161793592,0.018718743,0.320378124,0.015863242,-0.179030165,0.313593447,-0.151231274,0.017541118,0.299546540
0.303829718,-2.085899537,-0.532011008,0.950458949,-0.393636879,0.965449845,1.616225883,-2.086676900,-0.523209874,0.935036182,-0.386195962,0.964592040,1.601513267,0.017818533,-0.198803577,0.347616373,-0.167389890,0.019800474,0.334542848,0.015872126,-0.180069163,0.315665126,-0.152336985,0.017503863,0.300679177
0.319947573,-2.085606587,-0.535251948,0.956118654,-0.396359139,0.965776629,1.621700256,-2.086417977,-0.526148144,0.940187573,-0.388682191,0.964877307,1.606418610,0.018765754,-0.205745111,0.358803705,-0.172369394,0.021017719,0.348932305,0.016167259,-0.183469713,0.321628571,-0.155222565,0.017818248,0.306344241
0.335745857,-2.085298610,-0.538594204,0.961938133,-0.399150871,0.966123127,1.627394570,-2.086151425,-0.529163186,0.945470512,-0.391230885,0.965171516,1.611460447,0.019771676,-0.212327833,0.369098452,-0.176804135,0.022346490,0.363463038,0.016724216,-0.188816413,0.330733418,-0.159504056,0.018491890,0.316088021
0.351876119,-2.084974693,-0.542034218,0.967907572,-0.402005791,0.966490979,1.633312929,-2.085873429,-0.532281701,0.950927019,-0.393859688,0.965480149,1.616697669,0.020818315,-0.218655142,0.378760944,-0.180853945,0.023752921,0.378085568,0.017526658,-0.195661366,0.342123628,-0.164739147,0.019480612,0.329219073
0.367796348,-2.084632278,-0.545590840,0.974057396,-0.404937452,0.966883471,1.639494193,-2.085728947,-0.533883397,0.953724325,-0.395205800,0.965641022,1.619399548,0.021885503,-0.224899249,0.388196211,-0.184758919,0.025196454,0.392797886,0.017970273,-0.199090987,0.347724676,-0.167271063,0.020040616,0.336149603
0.383972591,-2.084272171,-0.549254695,0.980371114,-0.407937869,0.967299726,1.645922869,-2.085428540,-0.537174527,0.959462523,-0.397961442,0.965978086,1.624986529,0.022934807,-0.231212638,0.397822945,-0.188786562,0.026607839,0.407429081,0.019182149,-0.208483368,0.363086820,-0.174209520,0.021568136,0.355001479
