timestamp_absolute,timestamp_relative,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel
1770917504.612609386,0.000000000,-2.089076821,-0.497050110,0.888970971,-0.364026848,0.961906016,1.558066010,0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
1770917504.712609291,0.100000000,-2.087852335,-0.511261190,0.913970697,-0.376118465,0.963245875,1.581449172,0.024767188,-0.284619560,0.499971213,-0.241548156,0.027219715,0.470706285
1770917504.812609434,0.200000000,-2.083950467,-0.553565702,0.987630249,-0.411452125,0.967642690,1.653515745,0.054060788,-0.554249930,0.956382156,-0.455245198,0.062321409,0.970784967
1770917504.912609339,0.300000000,-2.076819453,-0.620583618,1.101544481,-0.464900477,0.976144352,1.775611696,0.090028783,-0.779107685,1.303712137,-0.601810849,0.110480035,1.471130900
1770917505.012609482,0.400000000,-2.065556725,-0.708236928,1.244987263,-0.529361408,0.990425658,1.947740858,0.137713915,-0.969891465,1.550136140,-0.674936560,0.179261901,1.971442404
1770917505.112609386,0.500000000,-2.049805762,-0.807485203,1.398962087,-0.593362663,1.011387364,2.155668995,0.171728605,-0.974509758,1.464239423,-0.575341452,0.232194084,2.094395353
1770917505.212609291,0.600000000,-2.031151492,-0.903292596,1.538024246,-0.644277981,1.036805487,2.365108519,0.202278938,-0.945198932,1.321837033,-0.443745506,0.276615453,2.094395275
1770917505.312609434,0.700000000,-2.009145831,-0.997120822,1.664037552,-0.682143687,1.066810052,2.574548041,0.238976710,-0.933879416,1.200909691,-0.313222753,0.324049887,2.094395164
1770917505.412609339,0.800000000,-1.983093079,-1.090496955,1.778527147,-0.706769661,1.101756586,2.783987561,0.283522602,-0.935403670,1.089789333,-0.178326461,0.375684753,2.094395195
1770917505.512609482,0.900000000,-1.952115191,-1.184484562,1.882058997,-0.717585548,1.142140005,2.993427085,0.337897106,-0.945407674,0.980626766,-0.036788920,0.433152351,2.094395110
1770917505.612609386,1.000000000,-1.917311150,-1.274436130,1.969738535,-0.714496385,1.185932541,3.191362524,0.349066044,-0.834768686,0.761272183,0.089717565,0.431233213,1.824362863
1770917505.712609291,1.100000000,-1.882404387,-1.352261107,2.036471676,-0.701250677,1.228325882,3.360551792,0.349066103,-0.726013298,0.582998828,0.168843310,0.417008612,1.571073021
1770917505.812609434,1.200000000,-1.847497787,-1.420321540,2.087889913,-0.681754677,1.269408539,3.507500526,0.349065933,-0.638034241,0.451726090,0.216965479,0.405013363,1.376015926
1770917505.912609339,1.300000000,-1.812591190,-1.480336579,2.127870490,-0.658533679,1.309396524,3.637119714,0.349065947,-0.564282674,0.352280100,0.244738584,0.395063725,1.222193148
1770917506.012609482,1.400000000,-1.777684596,-1.533512368,2.159088036,-0.633268109,1.348478064,3.752929328,0.349065924,-0.500742613,0.275226413,0.258735501,0.386829816,1.098316323
1770917506.112609386,1.500000000,-1.746966370,-1.575373765,2.180847213,-0.610252617,1.382245840,3.845508483,0.237329616,-0.306988783,0.150333919,0.179024345,0.258886808,0.685513471
1770917506.212609291,1.600000000,-1.731582959,-1.594769949,2.190071163,-0.598637056,1.398966876,3.889058097,0.066743598,-0.082171176,0.037989623,0.050415162,0.072313289,0.185483643
1770917506.312609434,1.700000000,-1.726539247,-1.600979494,2.192941989,-0.594827272,1.404431481,3.883267772,-0.000000024,0.000000121,0.000000092,-0.000000214,-0.000000026,-0.293916893
1770917506.412609339,1.800000000,-1.726539251,-1.600979472,2.192942006,-0.594827311,1.404431476,3.828876523,-0.000000066,0.000000327,0.000000250,-0.000000578,-0.000000071,-0.793909648
1770917506.512609482,1.900000000,-1.726539260,-1.600979429,2.192942039,-0.594827387,1.404431467,3.724485874,-0.000000108,0.000000533,0.000000407,-0.000000942,-0.000000115,-1.293903185
1770917506.612609386,2.000000000,-1.726539279,-1.600979369,2.192942089,-0.594827497,1.404431447,3.570095859,-0.000000386,0.000000586,0.000000642,-0.000001226,-0.000000396,-1.793896658
1770917506.712609291,2.100000000,-1.726539322,-1.600979304,2.192942161,-0.594827634,1.404431403,3.369686961,-0.000000451,0.000000684,0.000000749,-0.000001432,-0.000000462,-2.094395102
1770917506.812609434,2.200000000,-1.726539399,-1.600979248,2.192942233,-0.594827762,1.404431325,3.160247451,-0.000000840,0.000000529,0.000000716,-0.000001241,-0.000000850,-2.094395102
1770917506.912609339,2.300000000,-1.726539498,-1.600979204,2.192942301,-0.594827873,1.404431225,2.950807941,-0.000001160,0.000000331,0.000000625,-0.000000950,-0.000001168,-2.094395102
1770917507.012609482,2.400000000,-1.726539616,-1.600979173,2.192942362,-0.594827964,1.404431106,2.741368430,-0.000001387,0.000000107,0.000000483,-0.000000582,-0.000001392,-2.094395102
1770917507.112609386,2.500000000,-1.726539755,-1.600979163,2.192942410,-0.594828023,1.404430967,2.531928920,-0.000001387,0.000000107,0.000000483,-0.000000582,-0.000001392,-2.094395102
1770917507.212609291,2.600000000,-1.726539902,-1.600979169,2.192942445,-0.594828051,1.404430820,2.322489410,-0.000001502,-0.000000127,0.000000302,-0.000000167,-0.000001503,-2.094395102
1770917507.312609434,2.700000000,-1.726540052,-1.600979190,2.192942468,-0.594828052,1.404430670,2.113049900,-0.000001494,-0.000000350,0.000000097,0.000000261,-0.000001493,-2.094395102
1770917507.412609339,2.800000000,-1.726540201,-1.600979225,2.192942477,-0.594828026,1.404430521,1.903610389,-0.000001366,-0.000000545,-0.000000117,0.000000669,-0.000001361,-2.094395102
1770917507.512609482,2.900000000,-1.726540335,-1.600979278,2.192942466,-0.594827960,1.404430387,1.697705532,-0.000001244,-0.000000496,-0.000000106,0.000000609,-0.000001239,-1.906388378
1770917507.612609386,3.000000000,-1.726540434,-1.600979327,2.192942448,-0.594827892,1.404430289,1.532066694,-0.000000757,-0.000000467,-0.000000215,0.000000686,-0.000000751,-1.406388378
1770917507.712609291,3.100000000,-1.726540496,-1.600979366,2.192942431,-0.594827836,1.404430228,1.416427857,-0.000000488,-0.000000301,-0.000000139,0.000000442,-0.000000484,-0.906388378
1770917507.812609434,3.200000000,-1.726540531,-1.600979388,2.192942421,-0.594827804,1.404430192,1.350789019,-0.000000219,-0.000000135,-0.000000062,0.000000198,-0.000000217,-0.406388378
1770917507.912609339,3.300000000,-1.725488911,-1.595816913,2.187929930,-0.594979222,1.405483519,1.332924484,0.023016424,0.112988153,-0.109705338,-0.003314210,0.023053727,0.052137664
1770917508.012609482,3.400000000,-1.724936316,-1.593104256,2.185296100,-0.595058807,1.406036994,1.360373557,0.000000208,0.000000147,0.000000100,-0.000000321,-0.000000096,0.510999741
1770917508.112609386,3.500000000,-1.724936284,-1.593104234,2.185296116,-0.595058859,1.406036981,1.436473077,0.000000422,0.000000297,0.000000225,-0.000000735,-0.000000161,1.010991011
1770917508.212609291,3.600000000,-1.724936231,-1.593104196,2.185296145,-0.595058957,1.406036963,1.562571827,0.000000656,0.000000457,0.000000381,-0.000001266,-0.000000169,1.510983866
