timestamp_absolute,timestamp_relative,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel
1767544060.650566339,0.000000000,-2.089029137,-0.497037236,0.889002979,-0.363991086,0.961943984,1.557916999,0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
1767544060.750566244,0.100000000,-2.087804893,-0.511248616,0.914002704,-0.376083098,0.963282810,1.581303156,0.024762366,-0.284625673,0.499971227,-0.241556212,0.027199054,0.470766931
1767544060.850566387,0.200000000,-2.083903920,-0.553552507,0.987659592,-0.411416832,0.967676357,1.653376197,0.054047382,-0.554230590,0.956328221,-0.455239311,0.062276794,0.970849891
1767544060.950566292,0.300000000,-2.076774732,-0.620567491,1.101566453,-0.464864552,0.976172442,1.775478637,0.090005414,-0.779069875,1.303622384,-0.601807386,0.110413660,1.471195747
1767544061.050566435,0.400000000,-2.065514922,-0.708216412,1.244999323,-0.529326074,0.990446196,1.947614281,0.137678502,-0.969842383,1.550030482,-0.674954859,0.179178182,1.971507206
1767544061.150566339,0.500000000,-2.049768314,-0.807457600,1.398960868,-0.593329377,1.011398989,2.155543991,0.171680778,-0.974436726,1.464112402,-0.575375136,0.232106782,2.094395354
1767544061.250566244,0.600000000,-2.031119154,-0.903258100,1.538011859,-0.644249597,1.036808802,2.364983516,0.202224411,-0.945133655,1.321739725,-0.443808578,0.276536654,2.094395272
1767544061.350566387,0.700000000,-2.009119331,-0.997080094,1.664016696,-0.682122755,1.066805922,2.574423037,0.238913997,-0.933819690,1.200837147,-0.313307871,0.323979524,2.094395175
1767544061.450566292,0.800000000,-1.983073314,-1.090450547,1.778500169,-0.706758016,1.101745814,2.783862557,0.283450149,-0.935349826,1.089739224,-0.178426105,0.375621870,2.094395184
1767544061.550566435,0.900000000,-1.952103287,-1.184433105,1.882028079,-0.717584309,1.142123196,2.993302078,0.337811745,-0.945361016,0.980598062,-0.036896210,0.433093832,2.094395118
1767544061.650566339,1.000000000,-1.917300842,-1.274397832,1.969721432,-0.714503467,1.185919093,3.191274931,0.349066016,-0.834921174,0.761412122,0.089667774,0.431287415,1.824761047
1767544061.750566244,1.100000000,-1.882394080,-1.352236367,2.036465482,-0.701260234,1.228317753,3.360498519,0.349066108,-0.726134449,0.583081987,0.168839798,0.417060450,1.571368926
1767544061.850566387,1.200000000,-1.847487480,-1.420307757,2.087890113,-0.681763073,1.269405406,3.507473175,0.349065937,-0.638133692,0.451773661,0.216989938,0.405061398,1.376243328
1767544061.950566292,1.300000000,-1.812580883,-1.480331925,2.127874225,-0.658538705,1.309397992,3.637112635,0.349065948,-0.564366519,0.352304826,0.244780114,0.395107716,1.222373976
1767544062.050566435,1.400000000,-1.777674289,-1.533515451,2.159093425,-0.633268442,1.348483731,3.752938572,0.349065928,-0.500814085,0.275235784,0.258786993,0.386869850,1.098463885
1767544062.150566339,1.500000000,-1.746960674,-1.575376760,2.180850068,-0.610251665,1.382249854,3.845516388,0.237276804,-0.306967630,0.150305410,0.179022645,0.258854765,0.685454817
1767544062.250566244,1.600000000,-1.731581491,-1.594770710,2.190071848,-0.598636783,1.398967933,3.889060138,0.066712786,-0.082147102,0.037974093,0.050402961,0.072286967,0.185425018
1767544062.350566387,1.700000000,-1.726539247,-1.600979494,2.192941989,-0.594827272,1.404431481,3.883264287,-0.000000024,0.000000121,0.000000092,-0.000000214,-0.000000026,-0.293969483
1767544062.450566292,1.800000000,-1.726539251,-1.600979472,2.192942006,-0.594827311,1.404431476,3.828867780,-0.000000066,0.000000327,0.000000250,-0.000000578,-0.000000071,-0.793962235
1767544062.550566435,1.900000000,-1.726539260,-1.600979429,2.192942039,-0.594827387,1.404431467,3.724471873,-0.000000108,0.000000533,0.000000407,-0.000000942,-0.000000115,-1.293955773
1767544062.650566339,2.000000000,-1.726539279,-1.600979369,2.192942089,-0.594827497,1.404431447,3.570076599,-0.000000386,0.000000586,0.000000642,-0.000001226,-0.000000396,-1.793949247
1767544062.750566244,2.100000000,-1.726539322,-1.600979304,2.192942161,-0.594827634,1.404431403,3.369664540,-0.000000451,0.000000684,0.000000749,-0.000001432,-0.000000462,-2.094395102
1767544062.850566387,2.200000000,-1.726539399,-1.600979248,2.192942233,-0.594827762,1.404431325,3.160225030,-0.000000840,0.000000529,0.000000716,-0.000001241,-0.000000850,-2.094395102
1767544062.950566292,2.300000000,-1.726539498,-1.600979204,2.192942301,-0.594827873,1.404431225,2.950785520,-0.000001160,0.000000331,0.000000625,-0.000000950,-0.000001168,-2.094395102
