timestamp_absolute,timestamp_relative,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel
1767795543.379695892,0.000000000,-2.088930909,-0.496968095,0.889032006,-0.364056889,0.962083995,1.557965994,0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
1767795543.479695797,0.100000000,-2.087706940,-0.511180068,0.914031732,-0.376147845,0.963422035,1.581352622,0.024756823,-0.284637698,0.499971242,-0.241534961,0.027183240,0.470776812
1767795543.579695940,0.200000000,-2.083806865,-0.553485571,0.987688192,-0.411478181,0.967813080,1.653426708,0.054034768,-0.554250885,0.956319610,-0.455193029,0.062242128,0.970860389
1767795543.679695845,0.300000000,-2.076679356,-0.620503090,1.101593864,-0.464920224,0.976304631,1.775530195,0.089984125,-0.779100750,1.303607598,-0.601741107,0.110357085,1.471206199
1767795543.779695988,0.400000000,-2.065422222,-0.708155729,1.245025008,-0.529374403,0.990571460,1.947666886,0.137645683,-0.969886300,1.550010764,-0.674875468,0.179095563,1.971517660
1767795543.879695892,0.500000000,-2.049679436,-0.807401416,1.398984002,-0.593369747,1.011515073,2.155596863,0.171638822,-0.974483320,1.464086052,-0.575300987,0.232010252,2.094395352
1767795543.979695797,0.600000000,-2.031034826,-0.903206885,1.538032516,-0.644283196,1.036914897,2.365036387,0.202175111,-0.945186397,1.321716184,-0.443746914,0.276433563,2.094395275
1767795544.079695940,0.700000000,-2.009040357,-0.997034504,1.664035137,-0.682150725,1.066901420,2.574475908,0.238856157,-0.933879882,1.200816366,-0.313256204,0.323870987,2.094395167
1767795544.179695845,0.800000000,-1.983000627,-1.090411421,1.778516694,-0.706781196,1.101830214,2.783915429,0.283382111,-0.935419461,1.089721737,-0.178381053,0.375508683,2.094395191
1767795544.279695988,0.900000000,-1.952037957,-1.184401554,1.882043037,-0.717603082,1.142196091,2.993354950,0.337732439,-0.945443455,0.980584176,-0.036851973,0.432977060,2.094395105
1767795544.379695892,1.000000000,-1.917237002,-1.274390493,1.969749570,-0.714516159,1.185988923,3.191362141,0.349066055,-0.835174084,0.761537313,0.089750594,0.431278671,1.825122746
1767795544.479695797,1.100000000,-1.882330241,-1.352251775,2.036502530,-0.701263206,1.228386899,3.360616077,0.349066085,-0.726338197,0.583139855,0.168947743,0.417055167,1.571620058
1767795544.579695940,1.200000000,-1.847423640,-1.420341786,2.087930849,-0.681754623,1.269474184,3.507612139,0.349065876,-0.638303516,0.451792219,0.217108655,0.405059027,1.376423811
1767795544.679695845,1.300000000,-1.812517044,-1.480381377,2.127915388,-0.658518317,1.309466634,3.637266798,0.349065982,-0.564508375,0.352297799,0.244900493,0.395107511,1.222503106
1767795544.779695988,1.400000000,-1.777610449,-1.533577697,2.159132936,-0.633236313,1.348552416,3.753103459,0.349065960,-0.500931126,0.275211784,0.258902595,0.386871140,1.098553676
1767795544.879695892,1.500000000,-1.746919412,-1.575419233,2.180872723,-0.610226719,1.382294070,3.845622744,0.236978735,-0.306672366,0.150118284,0.178870965,0.258534005,0.684678506
1767795544.979695797,1.600000000,-1.731570068,-1.594782168,2.190077573,-0.598629685,1.398980117,3.889088870,0.066419196,-0.081820015,0.037817223,0.050201376,0.071971394,0.184648817
1767795545.079695940,1.700000000,-1.726539247,-1.600979494,2.192941989,-0.594827272,1.404431481,3.883219044,-0.000000024,0.000000121,0.000000093,-0.000000214,-0.000000026,-0.294721921
1767795545.179695845,1.800000000,-1.726539251,-1.600979472,2.192942006,-0.594827311,1.404431476,3.828747296,-0.000000066,0.000000327,0.000000250,-0.000000578,-0.000000071,-0.794714665
1767795545.279695988,1.900000000,-1.726539260,-1.600979429,2.192942039,-0.594827387,1.404431467,3.724276146,-0.000000108,0.000000533,0.000000407,-0.000000942,-0.000000115,-1.294708207
1767795545.379695892,2.000000000,-1.726539279,-1.600979369,2.192942089,-0.594827498,1.404431447,3.569805630,-0.000000386,0.000000586,0.000000642,-0.000001227,-0.000000396,-1.794701681
1767795545.479695797,2.100000000,-1.726539322,-1.600979304,2.192942161,-0.594827635,1.404431403,3.369348414,-0.000000451,0.000000684,0.000000749,-0.000001432,-0.000000462,-2.094395102
1767795545.579695940,2.200000000,-1.726539399,-1.600979248,2.192942233,-0.594827762,1.404431325,3.159908904,-0.000000840,0.000000529,0.000000716,-0.000001241,-0.000000850,-2.094395102
1767795545.679695845,2.300000000,-1.726539498,-1.600979204,2.192942301,-0.594827873,1.404431225,2.950469394,-0.000001160,0.000000331,0.000000625,-0.000000950,-0.000001168,-2.094395102
1767795545.779695988,2.400000000,-1.726539616,-1.600979173,2.192942362,-0.594827965,1.404431106,2.741029884,-0.000001387,0.000000107,0.000000483,-0.000000582,-0.000001392,-2.094395102
1767795545.879695892,2.500000000,-1.726539755,-1.600979162,2.192942410,-0.594828023,1.404430967,2.531590373,-0.000001387,0.000000107,0.000000483,-0.000000582,-0.000001392,-2.094395102
1767795545.979695797,2.600000000,-1.726539902,-1.600979169,2.192942445,-0.594828051,1.404430820,2.322150863,-0.000001502,-0.000000127,0.000000302,-0.000000167,-0.000001503,-2.094395102
1767795546.079695940,2.700000000,-1.726540052,-1.600979190,2.192942468,-0.594828052,1.404430670,2.112711353,-0.000001494,-0.000000350,0.000000097,0.000000261,-0.000001493,-2.094395102
1767795546.179695845,2.800000000,-1.726540201,-1.600979225,2.192942477,-0.594828026,1.404430521,1.903271843,-0.000001366,-0.000000545,-0.000000117,0.000000669,-0.000001361,-2.094395102
1767795546.279695988,2.900000000,-1.726540336,-1.600979278,2.192942466,-0.594827960,1.404430387,1.697397441,-0.000001243,-0.000000495,-0.000000106,0.000000608,-0.000001238,-1.905580157
1767795546.379695892,3.000000000,-1.726540434,-1.600979328,2.192942448,-0.594827892,1.404430289,1.531839425,-0.000000757,-0.000000467,-0.000000215,0.000000686,-0.000000751,-1.405580157
1767795546.479695797,3.100000000,-1.726540496,-1.600979366,2.192942431,-0.594827836,1.404430227,1.416281410,-0.000000487,-0.000000301,-0.000000139,0.000000442,-0.000000484,-0.905580157
