timestamp_absolute,timestamp_relative,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel
1770918672.310258389,0.000000000,-2.089083020,-0.497082059,0.889043987,-0.363972966,0.961946011,1.558029056,0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
1770918672.410258293,0.100000000,-2.087858456,-0.511293673,0.914043713,-0.376064106,0.963284813,1.581415115,0.024768847,-0.284630440,0.499971242,-0.241538668,0.027198589,0.470765315
1770918672.510258436,0.200000000,-2.083956475,-0.553598371,0.987700734,-0.411395264,0.967678245,1.653487978,0.054061165,-0.554242170,0.956331157,-0.455205775,0.062274647,0.970848116
1770918672.610258341,0.300000000,-2.076825511,-0.620614875,1.101608050,-0.464838953,0.976173939,1.775590238,0.090027385,-0.779088704,1.303628313,-0.601760839,0.110407638,1.471193930
1770918672.710258484,0.400000000,-2.065563029,-0.708266001,1.245041559,-0.529295352,0.990446798,1.947725703,0.137710396,-0.969867399,1.550036661,-0.674899792,0.179166089,1.971505400
1770918672.810258389,0.500000000,-2.049812848,-0.807509826,1.399003672,-0.593293396,1.011398181,2.155655385,0.171718961,-0.974462134,1.464115646,-0.575327425,0.232091629,2.094395351
1770918672.910258293,0.600000000,-2.031159578,-0.903312766,1.538054771,-0.644209416,1.036806521,2.365094910,0.202268689,-0.945156649,1.321738194,-0.443772409,0.276523008,2.094395276
1770918673.010258436,0.700000000,-2.009154936,-0.997136894,1.664059206,-0.682079594,1.066802536,2.574534431,0.238966806,-0.933839461,1.200830495,-0.313284135,0.323972166,2.094395162
1770918673.110258341,0.800000000,-1.983103109,-1.090509089,1.778541750,-0.706713168,1.101742227,2.783973951,0.283514318,-0.935364831,1.089727161,-0.178415869,0.375626402,2.094395197
1770918673.210258484,0.900000000,-1.952125893,-1.184492865,1.882068153,-0.717539087,1.142120965,2.993413472,0.337892279,-0.945369968,0.980579687,-0.036898798,0.433117810,2.094395110
1770918673.310258389,1.000000000,-1.917321934,-1.274441278,1.969744143,-0.714460875,1.185911621,3.191349647,0.349066043,-0.834735702,0.761239966,0.089612229,0.431225304,1.824359349
1770918673.410258293,1.100000000,-1.882415172,-1.352262772,2.036474257,-0.701225233,1.228304920,3.360537509,0.349066105,-0.725977424,0.582970823,0.168747409,0.417014752,1.571050704
1770918673.510258436,1.200000000,-1.847508571,-1.420319591,2.087889917,-0.681738349,1.269388684,3.507483456,0.349065938,-0.637998223,0.451702569,0.216879015,0.405028726,1.375983724
1770918673.610258341,1.300000000,-1.812601975,-1.480331115,2.127868362,-0.658525523,1.309378530,3.637099194,0.349065942,-0.564248310,0.352260756,0.244661390,0.395085143,1.222156701
1770918673.710258484,1.400000000,-1.777695381,-1.533503618,2.159084163,-0.633267200,1.348462425,3.752905122,0.349065918,-0.500711056,0.275210623,0.258667431,0.386855169,1.098279121
1770918673.810258389,1.500000000,-1.746973179,-1.575367507,2.180844581,-0.610254355,1.382236876,3.845492520,0.237381137,-0.307031758,0.150353184,0.179022263,0.258961279,0.685630268
