timestamp,source,elbow_joint_pos,elbow_joint_vel,shoulder_lift_joint_pos,shoulder_lift_joint_vel,shoulder_pan_joint_pos,shoulder_pan_joint_vel,wrist_1_joint_pos,wrist_1_joint_vel,wrist_2_joint_pos,wrist_2_joint_vel,wrist_3_joint_pos,wrist_3_joint_vel
0.000000,executed,0.888905,-0.000000,-0.496970,0.000000,-2.089099,0.000000,-0.364005,-0.000000,0.961916,-0.000000,1.557902,-0.000000
0.002617,executed,0.888905,-0.000000,-0.496970,0.000000,-2.089099,0.000000,-0.364005,-0.000000,0.961916,-0.000000,1.557902,-0.000000
0.010789,executed,0.888905,-0.000000,-0.496970,0.000000,-2.089099,0.000000,-0.364005,-0.000000,0.961916,-0.000000,1.557902,-0.000000
0.018768,executed,0.888905,-0.000000,-0.496970,0.000000,-2.089099,0.000000,-0.364005,-0.000000,0.961916,-0.000000,1.557902,-0.000000
0.026667,executed,0.888905,-0.000000,-0.496970,0.000000,-2.089099,0.000000,-0.364005,-0.000000,0.961916,-0.000000,1.557902,-0.000000
0.034747,executed,0.888905,-0.000000,-0.496970,0.000000,-2.089099,0.000000,-0.364005,-0.000000,0.961916,-0.000000,1.557902,-0.000000
0.042884,executed,0.888905,-0.000000,-0.496970,0.000000,-2.089099,0.000000,-0.364005,-0.000000,0.961916,-0.000000,1.557902,-0.000000
0.050689,executed,0.888905,-0.000000,-0.496970,0.000000,-2.089099,0.000000,-0.364005,-0.000000,0.961916,-0.000000,1.557902,-0.000000
0.058843,executed,0.888905,-0.000000,-0.496970,0.000000,-2.089099,0.000000,-0.364005,-0.000000,0.961916,-0.000000,1.557902,-0.000000
0.066860,executed,0.888905,-0.000000,-0.496970,0.000000,-2.089099,0.000000,-0.364005,-0.000000,0.961916,-0.000000,1.557902,-0.000000
0.074658,executed,0.888905,-0.000000,-0.496970,0.000000,-2.089099,0.000000,-0.364005,-0.000000,0.961916,-0.000000,1.557902,-0.000000
0.082819,executed,0.888905,-0.000000,-0.496970,0.000000,-2.089099,0.000000,-0.364005,-0.000000,0.961916,-0.000000,1.557902,-0.000000
0.090792,executed,0.888905,-0.000000,-0.496970,0.000000,-2.089099,0.000000,-0.364005,-0.000000,0.961916,-0.000000,1.557902,-0.000000
