timestamp_relative,shoulder_pan_joint_desired_pos,shoulder_lift_joint_desired_pos,elbow_joint_desired_pos,wrist_1_joint_desired_pos,wrist_2_joint_desired_pos,wrist_3_joint_desired_pos,shoulder_pan_joint_actual_pos,shoulder_lift_joint_actual_pos,elbow_joint_actual_pos,wrist_1_joint_actual_pos,wrist_2_joint_actual_pos,wrist_3_joint_actual_pos,shoulder_pan_joint_desired_vel,shoulder_lift_joint_desired_vel,elbow_joint_desired_vel,wrist_1_joint_desired_vel,wrist_2_joint_desired_vel,wrist_3_joint_desired_vel,shoulder_pan_joint_actual_vel,shoulder_lift_joint_actual_vel,elbow_joint_actual_vel,wrist_1_joint_actual_vel,wrist_2_joint_actual_vel,wrist_3_joint_actual_vel
0.000000433,-2.089084224,-0.497064889,0.889074358,-0.363963065,0.961986728,1.558029116,-2.089085881,-0.497043912,0.889037013,-0.363944832,0.961984992,1.557996035,0.000301824,-0.003813804,0.006788155,-0.003313511,0.000316492,0.006019338,0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000
0.047976370,-2.089003676,-0.498067152,0.890854634,-0.364830687,0.962071855,1.559622756,-2.089083497,-0.497076337,0.889094472,-0.363972966,0.961987793,1.558047056,0.003402711,-0.041953563,0.074428057,-0.036237577,0.003612679,0.067005397,0.000217872,-0.002803141,0.004988564,-0.002438500,0.000238875,0.004438614
0.064774781,-2.088938854,-0.498862091,0.892263872,-0.365516425,0.962140859,1.560895697,-2.089074914,-0.497185055,0.889287949,-0.364067380,0.961996913,1.558219433,0.004692501,-0.057258063,0.101435290,-0.049331983,0.005007641,0.091913031,0.000728138,-0.009057657,0.016115675,-0.007854750,0.000764809,0.014373810
0.080733349,-2.088853761,-0.499894254,0.894090902,-0.366404411,0.962231930,1.562557394,-2.089047257,-0.497525517,0.889892995,-0.364362065,0.962025940,1.558761358,0.005939024,-0.071628426,0.126688920,-0.061535808,0.006373811,0.115639880,0.002110664,-0.026201902,0.046516564,-0.022665936,0.002239148,0.041713145
0.096509371,-2.088749301,-0.501145855,0.896302573,-0.367477895,0.962344391,1.564584583,-2.088999097,-0.498120133,0.890948057,-0.364875619,0.962077141,1.559710741,0.007086007,-0.084357941,0.148932096,-0.072235932,0.007651995,0.137067248,0.003363546,-0.041397594,0.073434651,-0.035743393,0.003577908,0.066169642
0.112209412,-2.088628088,-0.502578608,0.898829509,-0.368702543,0.962475725,1.566920822,-2.088931386,-0.498950307,0.892419100,-0.365591351,0.962149441,1.561041713,0.008094418,-0.095006690,0.167394320,-0.081061010,0.008798986,0.155460437,0.004570495,-0.055715352,0.098704472,-0.048002515,0.004867384,0.089469261
0.128229074,-2.088491483,-0.504169794,0.901629973,-0.370057490,0.962624742,1.569534438,-2.088844124,-0.500003640,0.894283116,-0.366497342,0.962242544,1.562739611,0.008966620,-0.103663554,0.182247646,-0.088100295,0.009814733,0.170915000,0.005742712,-0.069261223,0.122498475,-0.059509598,0.006157532,0.111824326
0.144941293,-2.088340549,-0.505901091,0.904670209,-0.371525820,0.962790537,1.572400224,-2.088793580,-0.500608746,0.895352185,-0.367016141,0.962296844,1.563718796,0.009727608,-0.110734152,0.194235108,-0.093724503,0.010721607,0.184003099,0.006305412,-0.075565033,0.133528411,-0.064822823,0.006784906,0.122354649
0.160699700,-2.088180192,-0.507713154,0.907845208,-0.373056513,0.962967851,1.575422498,-2.088679616,-0.501962487,0.897741735,-0.368174855,0.962420046,1.565921068,0.010410938,-0.116838283,0.204505837,-0.098512042,0.011546416,0.195554600,0.007374057,-0.087168396,0.153741837,-0.074509859,0.007981408,0.142051101
0.176886182,-2.088007870,-0.509635342,0.911206578,-0.374674512,0.963159469,1.578649704,-2.088540856,-0.503585164,0.900598168,-0.369557206,0.962571144,1.568580508,0.011107911,-0.123252035,0.215359874,-0.103596564,0.012379659,0.207490794,0.009508714,-0.110559106,0.194506317,-0.094083190,0.010388148,0.181769937
0.192732803,-2.087823927,-0.511669110,0.914758271,-0.376382266,0.963364781,1.582079740,-2.088368718,-0.505565945,0.904077888,-0.371238534,0.962760210,1.571855426,0.011911174,-0.131398481,0.229389224,-0.110266224,0.013307582,0.221870880,0.011007185,-0.125916362,0.221045583,-0.106739908,0.012095648,0.208632007
0.208311442,-2.087627397,-0.513839910,0.918548665,-0.378204649,0.963584215,1.585743647,-2.088185136,-0.507643525,0.907720149,-0.372995202,0.962962508,1.575314879,0.012713958,-0.140815113,0.245974465,-0.118308300,0.014177520,0.237416048,0.011431933,-0.129015192,0.226050720,-0.108967364,0.012645220,0.215298131
0.224044264,-2.087417967,-0.516170240,0.922622082,-0.380165142,0.963817252,1.589665100,-2.088092152,-0.508688752,0.909550011,-0.373876874,0.963065803,1.577064157,0.013466521,-0.150586885,0.263420184,-0.126868369,0.014949904,0.252884386,0.011525846,-0.129304767,0.226328045,-0.109014444,0.012790040,0.216480404
0.239980578,-2.087196661,-0.518657749,0.926976784,-0.382263935,0.964062342,1.593833470,-2.087903325,-0.510795418,0.913233638,-0.375649277,0.963276148,1.580604196,0.014200170,-0.160379735,0.280963484,-0.135501676,0.015690694,0.268216915,0.011846990,-0.131633192,0.230058715,-0.110686213,0.013187905,0.221465603
0.255801340,-2.086964193,-0.521293460,0.931596803,-0.384493225,0.964318738,1.598234406,-2.087678734,-0.513288323,0.917589486,-0.377744977,0.963526368,1.584802508,0.014940034,-0.169917099,0.297975083,-0.143842126,0.016453219,0.283358293,0.014501453,-0.161023349,0.281361163,-0.135369658,0.016153567,0.271193713
0.271932874,-2.086718023,-0.524097470,0.936515133,-0.386867963,0.964589639,1.602907757,-2.087435548,-0.515992943,0.922316968,-0.380020444,0.963796437,1.589351892,0.015714037,-0.179093919,0.314162287,-0.151701631,0.017287501,0.298438900,0.015134230,-0.168861389,0.295256704,-0.142149761,0.016823528,0.283854008
0.287794393,-2.086461254,-0.527019883,0.941640521,-0.389342481,0.964872293,1.607780847,-2.087190453,-0.518740956,0.927126646,-0.382337872,0.964068353,1.593962431,0.016525167,-0.187644536,0.328982362,-0.158784937,0.018210514,0.313231358,0.015166615,-0.170374468,0.298266351,-0.143759429,0.016795648,0.285531014
0.303964518,-2.086188835,-0.530099774,0.947036783,-0.391945549,0.965173102,1.612932113,-2.086944405,-0.521521393,0.931997478,-0.384687249,0.964340329,1.598611951,0.017395351,-0.195640332,0.342514796,-0.165110762,0.019254506,0.327983990,0.015268698,-0.172763675,0.302776426,-0.146073282,0.016848901,0.288683534
0.319775439,-2.085904469,-0.533275547,0.952590904,-0.394620451,0.965488874,1.618272856,-2.086693589,-0.524364773,0.936982989,-0.387092892,0.964616418,1.603358507,0.018312142,-0.202937880,0.354507613,-0.170557198,0.020405871,0.342458215,0.015626509,-0.177496105,0.311201483,-0.150207654,0.017209616,0.296187550
0.335865474,-2.085602734,-0.536588528,0.958370129,-0.397397395,0.965826512,1.623886728,-2.086434189,-0.527311627,0.942148030,-0.389585797,0.964902580,1.608277917,0.019286138,-0.209706611,0.365270450,-0.175279197,0.021674035,0.356902067,0.016262524,-0.184386432,0.323173404,-0.155947074,0.017935324,0.308014780
0.351855827,-2.085287145,-0.539983591,0.964273908,-0.400226161,0.966182832,1.629692668,-2.086162392,-0.530375306,0.947513819,-0.392173115,0.965202987,1.613408208,0.020293307,-0.215960349,0.374901251,-0.179355810,0.023019446,0.371130679,0.017060911,-0.191849917,0.335853219,-0.161892012,0.018893266,0.321671605
0.367954232,-2.084952221,-0.543507622,0.970380491,-0.403142816,0.966564578,1.635780088,-2.085876290,-0.533562485,0.953085363,-0.394855801,0.965521157,1.618773460,0.021332654,-0.221967656,0.383942764,-0.183080111,0.024428224,0.385390601,0.017976364,-0.199362367,0.348297149,-0.167584300,0.020034203,0.336306334
0.383868115,-2.084604025,-0.547091863,0.976569359,-0.406089196,0.966965062,1.642034084,-2.085574929,-0.536864583,0.958843768,-0.397621934,0.965858817,1.624374270,0.022361956,-0.227848115,0.392758618,-0.186694030,0.025826530,0.399447457,0.018949905,-0.206412017,0.359633833,-0.172615737,0.021283954,0.351003617
0.399980239,-2.084236642,-0.550800926,0.982953126,-0.409119373,0.967390923,1.648564432,-2.085418049,-0.538558308,0.961790800,-0.399034802,0.966035664,1.627266049,0.023370144,-0.234000541,0.402182793,-0.190658365,0.027178219,0.413588364,0.019463798,-0.209872752,0.365082741,-0.174993381,0.021956138,0.358506620
0.415834114,-2.083856714,-0.554581515,0.989444050,-0.412193455,0.967833827,1.655266108,-2.085092370,-0.542022053,0.967802227,-0.401909653,0.966405571,1.633222342,0.024301790,-0.240652265,0.412833394,-0.195368549,0.028382972,0.427594586,0.020459579,-0.215998814,0.374489278,-0.178950235,0.023283133,0.372567922
0.431938974,-2.083460496,-0.558496922,0.996158333,-0.415370113,0.968296934,1.662232762,-2.084729497,-0.545786206,0.974310637,-0.405011956,0.966821313,1.639766455,0.025087142,-0.247674989,0.424645342,-0.200900640,0.029330925,0.441132303,0.024265669,-0.249789253,0.431311518,-0.205336064,0.027908169,0.435893774
0.447864542,-2.083055052,-0.562502048,1.003025757,-0.418619930,0.968770811,1.669369855,-2.084305112,-0.550096337,0.981736302,-0.408540074,0.967312336,1.647335887,0.025761200,-0.254741021,0.436860046,-0.206800828,0.030094312,0.454102226,0.026750430,-0.270249277,0.465158612,-0.220807716,0.031010864,0.475735337
0.463895003,-2.082637633,-0.566635542,1.010115891,-0.421977609,0.969258123,1.676739764,-2.083870236,-0.554446522,0.989212334,-0.412083928,0.967817843,1.655027747,0.026405322,-0.261830698,0.449207073,-0.212813336,0.030807473,0.466935022,0.026801774,-0.267250627,0.459011048,-0.217487827,0.031206621,0.473393530
