timestamp_relative,shoulder_pan_joint_desired_pos,shoulder_lift_joint_desired_pos,elbow_joint_desired_pos,wrist_1_joint_desired_pos,wrist_2_joint_desired_pos,wrist_3_joint_desired_pos,shoulder_pan_joint_actual_pos,shoulder_lift_joint_actual_pos,elbow_joint_actual_pos,wrist_1_joint_actual_pos,wrist_2_joint_actual_pos,wrist_3_joint_actual_pos,shoulder_pan_joint_desired_vel,shoulder_lift_joint_desired_vel,elbow_joint_desired_vel,wrist_1_joint_desired_vel,wrist_2_joint_desired_vel,wrist_3_joint_desired_vel,shoulder_pan_joint_actual_vel,shoulder_lift_joint_actual_vel,elbow_joint_actual_vel,wrist_1_joint_actual_vel,wrist_2_joint_actual_vel,wrist_3_joint_actual_vel
0.000000317,-2.089088781,-0.497064588,0.888923605,-0.363948562,0.961948443,1.557967601,-2.089089219,-0.497059170,0.888913989,-0.363943879,0.961947978,1.557958961,0.000161411,-0.001994506,0.003539670,-0.001723874,0.000171378,0.003181749,0.000000000,-0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000
0.048055955,-2.088982140,-0.498366717,0.891230763,-0.365070755,0.962062335,1.560056918,-2.089084450,-0.497120206,0.889022648,-0.363996808,0.961953044,1.558056831,0.004933529,-0.059840234,0.105929821,-0.051486660,0.005286111,0.096329923,0.000446839,-0.005487049,0.009733610,-0.004734406,0.000470463,0.008774764
0.063799492,-2.088888016,-0.499503251,0.893241415,-0.366047543,0.962163404,1.561890536,-2.089067761,-0.497319523,0.889375508,-0.364168469,0.961970389,1.558375478,0.006826853,-0.082079505,0.145120665,-0.070467291,0.007345733,0.132703035,0.001359452,-0.016652446,0.029510865,-0.014352917,0.001453292,0.026674770
0.080003313,-2.088765063,-0.500973647,0.895839207,-0.367308227,0.962296038,1.564274086,-2.089031521,-0.497766320,0.890167177,-0.364553277,0.962009609,1.559092879,0.008461378,-0.100654965,0.177697496,-0.086184108,0.009150479,0.163592474,0.002787082,-0.033961896,0.060145952,-0.029250611,0.002987961,0.054559950
0.095737542,-2.088619405,-0.502695506,0.898876288,-0.368780186,0.962454024,1.567081337,-2.088968102,-0.498534505,0.891527176,-0.365214650,0.962077558,1.560330153,0.009714998,-0.114113224,0.201094274,-0.097392489,0.010568333,0.186636734,0.004536083,-0.054891501,0.097141035,-0.047208749,0.004870421,0.088482849
0.112071292,-2.088456280,-0.504597564,0.902224623,-0.370400466,0.962632075,1.570203653,-2.088875119,-0.499650304,0.893500149,-0.366172616,0.962177277,1.562133193,0.010579986,-0.122445113,0.215315441,-0.104102507,0.011587403,0.201754306,0.006357415,-0.076336496,0.134941742,-0.065513693,0.006849797,0.123525754
0.127903648,-2.088281897,-0.506599359,0.905740509,-0.372098738,0.962823763,1.573515596,-2.088818375,-0.500332181,0.894704819,-0.366757218,0.962238848,1.563238621,0.011128986,-0.126711791,0.222283485,-0.107265424,0.012277836,0.210511312,0.007223745,-0.086274132,0.152387246,-0.073943429,0.007794100,0.139908493
0.143923181,-2.088100981,-0.508642587,0.909320499,-0.373824629,0.963024067,1.576924085,-2.088685338,-0.501911465,0.897491455,-0.368108575,0.962382972,1.565808654,0.011532085,-0.129242344,0.226186426,-0.108941703,0.012810506,0.216447032,0.008743305,-0.103350498,0.182276189,-0.088333972,0.009482937,0.168498278
0.159890563,-2.087912460,-0.510742071,0.912991276,-0.375591280,0.963234054,1.580451536,-2.088521783,-0.503825013,0.900861442,-0.369739834,0.962561131,1.568944335,0.012058060,-0.133610346,0.233426883,-0.112272639,0.013460011,0.225066694,0.011235806,-0.130763292,0.230122924,-0.111314431,0.012280500,0.214927375
0.175944196,-2.087713547,-0.512942312,0.916834221,-0.377439265,0.963456253,1.584161387,-2.088321988,-0.506125275,0.904903173,-0.371692483,0.962780535,1.572744489,0.012828916,-0.141922851,0.247886183,-0.119208170,0.014329025,0.239322667,0.012742040,-0.145966783,0.256297916,-0.123768985,0.014025362,0.241752550
