timestamp,source,elbow_joint_pos,elbow_joint_vel,shoulder_lift_joint_pos,shoulder_lift_joint_vel,shoulder_pan_joint_pos,shoulder_pan_joint_vel,wrist_1_joint_pos,wrist_1_joint_vel,wrist_2_joint_pos,wrist_2_joint_vel,wrist_3_joint_pos,wrist_3_joint_vel
0.000000,executed,0.888992,0.000000,-0.497016,-0.000000,-2.088997,0.000000,-0.363911,-0.000000,0.962100,-0.000000,1.557910,0.000000
0.006397,executed,0.888992,0.000000,-0.497016,-0.000000,-2.088997,0.000000,-0.363911,-0.000000,0.962100,-0.000000,1.557910,0.000000
0.014522,executed,0.888992,0.000000,-0.497016,-0.000000,-2.088997,0.000000,-0.363911,-0.000000,0.962100,-0.000000,1.557910,0.000000
0.022379,executed,0.888992,0.000000,-0.497016,-0.000000,-2.088997,0.000000,-0.363911,-0.000000,0.962100,-0.000000,1.557910,0.000000
0.030423,executed,0.888992,0.000000,-0.497016,-0.000000,-2.088997,0.000000,-0.363911,-0.000000,0.962100,-0.000000,1.557910,0.000000
0.038419,executed,0.888992,0.000000,-0.497016,-0.000000,-2.088997,0.000000,-0.363911,-0.000000,0.962100,-0.000000,1.557910,0.000000
0.046494,executed,0.888992,0.000000,-0.497016,-0.000000,-2.088997,0.000000,-0.363911,-0.000000,0.962100,-0.000000,1.557910,0.000000
0.054429,executed,0.888992,0.000000,-0.497016,-0.000000,-2.088997,0.000000,-0.363911,-0.000000,0.962100,-0.000000,1.557910,0.000000
0.062337,executed,0.888992,0.000000,-0.497016,-0.000000,-2.088997,0.000000,-0.363911,-0.000000,0.962100,-0.000000,1.557910,0.000000
0.070439,executed,0.888992,0.000000,-0.497016,-0.000000,-2.088997,0.000000,-0.363911,-0.000000,0.962100,-0.000000,1.557910,0.000000
0.078463,executed,0.888992,0.000000,-0.497016,-0.000000,-2.088997,0.000000,-0.363911,-0.000000,0.962100,-0.000000,1.557910,0.000000
0.086422,executed,0.888992,0.000000,-0.497016,-0.000000,-2.088997,0.000000,-0.363911,-0.000000,0.962100,-0.000000,1.557910,0.000000
0.094329,executed,0.888992,0.000000,-0.497016,-0.000000,-2.088997,0.000000,-0.363911,-0.000000,0.962100,-0.000000,1.557910,0.000000
0.102508,executed,0.888992,0.000000,-0.497016,-0.000000,-2.088997,0.000000,-0.363911,-0.000000,0.962100,-0.000000,1.557910,0.000000
0.110481,executed,0.888992,0.000000,-0.497016,-0.000000,-2.088997,0.000000,-0.363911,-0.000000,0.962100,-0.000000,1.557910,0.000000
