timestamp_relative,shoulder_pan_joint_desired_pos,shoulder_lift_joint_desired_pos,elbow_joint_desired_pos,wrist_1_joint_desired_pos,wrist_2_joint_desired_pos,wrist_3_joint_desired_pos,shoulder_pan_joint_actual_pos,shoulder_lift_joint_actual_pos,elbow_joint_actual_pos,wrist_1_joint_actual_pos,wrist_2_joint_actual_pos,wrist_3_joint_actual_pos,shoulder_pan_joint_desired_vel,shoulder_lift_joint_desired_vel,elbow_joint_desired_vel,wrist_1_joint_desired_vel,wrist_2_joint_desired_vel,wrist_3_joint_desired_vel,shoulder_pan_joint_actual_vel,shoulder_lift_joint_actual_vel,elbow_joint_actual_vel,wrist_1_joint_actual_vel,wrist_2_joint_actual_vel,wrist_3_joint_actual_vel
0.000001264,-2.088928357,-0.496999904,0.889088519,-0.364084436,0.962086691,1.558016538,-2.088930909,-0.496968095,0.889032006,-0.364056889,0.962083995,1.557965994,0.000461610,-0.005746592,0.010207417,-0.004974789,0.000488088,0.009137406,0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.031116971,-2.088875125,-0.497657166,0.890254690,-0.364652299,0.962143210,1.559065800,-2.088929955,-0.496980015,0.889053166,-0.364067380,0.962085009,1.557985067,0.003126998,-0.038405673,0.068093773,-0.033139390,0.003328716,0.061469127,0.000133042,-0.001702952,0.003031964,-0.001470849,0.000147872,0.002718510
0.047106571,-2.088811844,-0.498430925,0.891625742,-0.365319234,0.962210720,1.560306910,-2.088922803,-0.497068707,0.889211059,-0.364144150,0.962092578,1.558126807,0.004787559,-0.058301054,0.103247859,-0.050201834,0.005117770,0.093701692,0.000650283,-0.008064261,0.014311769,-0.006968458,0.000688287,0.012855701
0.063733965,-2.088721782,-0.499522066,0.893556724,-0.366257607,0.962307234,1.562065003,-2.088902775,-0.497316186,0.889650226,-0.364357773,0.962113798,1.558522105,0.006401143,-0.077172207,0.136477913,-0.066286633,0.006875954,0.124643754,0.001599486,-0.019679442,0.034912564,-0.016996292,0.001692396,0.031451251
0.079386272,-2.088608123,-0.500884341,0.895963920,-0.367426016,0.962429665,1.564271616,-2.088863198,-0.497800652,0.890509307,-0.364775960,0.962155938,1.559298158,0.007819575,-0.093184068,0.164526681,-0.079807173,0.008446181,0.151370072,0.002924711,-0.035784673,0.063428879,-0.030859560,0.003124543,0.057369094
0.095321164,-2.088472995,-0.502483828,0.898785300,-0.368793555,0.962576083,1.566878535,-2.088834588,-0.498149697,0.891127110,-0.365076367,0.962186456,1.559857965,0.008991435,-0.105716354,0.186297108,-0.090230583,0.009773233,0.172879106,0.003679118,-0.044880651,0.079503246,-0.038667936,0.003931511,0.072070517
0.111080974,-2.088322097,-0.504244752,0.901885117,-0.370293626,0.962740670,1.569768993,-2.088758771,-0.499072377,0.892760396,-0.365870301,0.962267935,1.561343789,0.009891245,-0.114562248,0.201448142,-0.097400673,0.010825450,0.188757091,0.005253378,-0.063510455,0.112366617,-0.054595992,0.005633794,0.102403812
0.127158581,-2.088158167,-0.506128179,0.905193060,-0.371891520,0.962920735,1.572884805,-2.088649575,-0.500379864,0.895071030,-0.366991822,0.962385297,1.563460827,0.010573327,-0.120514903,0.211416484,-0.102028269,0.011655271,0.200175266,0.007883654,-0.094046034,0.166077301,-0.080573983,0.008496291,0.152611658
0.143920489,-2.087983620,-0.508101945,0.908651500,-0.373558962,0.963113815,1.576176439,-2.088499371,-0.502157036,0.898204982,-0.368511025,0.962547898,1.566356301,0.011141240,-0.125043268,0.218854212,-0.105422249,0.012364499,0.209331031,0.009860313,-0.116205566,0.204855964,-0.099252634,0.010694533,0.189770505
0.159695057,-2.087800994,-0.510138637,0.912212738,-0.375273084,0.963317049,1.579597098,-2.088330571,-0.504127804,0.901675344,-0.370190922,0.962731779,1.569589496,0.011752144,-0.130363251,0.227759174,-0.109554613,0.013108214,0.219548237,0.010683818,-0.124231175,0.218587756,-0.105744787,0.011673826,0.204273358
