timestamp_absolute,timestamp_relative,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel
1770058527.251577854,0.000000000,-2.088940922,-0.496965233,0.889020026,-0.364024941,0.962037027,1.558084965,0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
1770058527.351577759,0.100000000,-2.087717016,-0.511177076,0.914019752,-0.376116638,0.963375026,1.581470191,0.024755563,-0.284635019,0.499971238,-0.241549901,0.027182445,0.470748452
1770058527.451577902,0.200000000,-2.083817057,-0.553482914,0.987677511,-0.411449881,0.967766080,1.653541257,0.054033878,-0.554260709,0.956346159,-0.455236367,0.062243672,0.970830069
1770058527.551577806,0.300000000,-2.076689582,-0.620501938,1.101586915,-0.464897497,0.976258058,1.775641713,0.089984525,-0.779120501,1.303654352,-0.601808138,0.110364904,1.471175905
1770058527.651577950,0.400000000,-2.065432279,-0.708156951,1.245023456,-0.529359267,0.990526230,1.947775376,0.137649055,-0.969913907,1.550071108,-0.674958808,0.179115841,1.971487388
1770058527.751577854,0.500000000,-2.049688763,-0.807406596,1.398990073,-0.593363401,1.011472843,2.155704620,0.171648974,-0.974525660,1.464162089,-0.575382960,0.232047763,2.094395351
1770058527.851577759,0.600000000,-2.031042857,-0.903216332,1.538045691,-0.644284069,1.036877101,2.365144144,0.202191100,-0.945229792,1.321782415,-0.443808800,0.276484776,2.094395277
1770058527.951577902,0.700000000,-2.009046432,-0.997048448,1.664054482,-0.682156651,1.066869441,2.574583666,0.238879751,-0.933926911,1.200873379,-0.313294486,0.323936292,2.094395159
1770058528.051577806,0.800000000,-1.983003890,-1.090430304,1.778541225,-0.706789623,1.101805478,2.784023186,0.283415231,-0.935471472,1.089768016,-0.178392006,0.375588372,2.094395199
1770058528.151577950,0.900000000,-1.952037306,-1.184425927,1.882071539,-0.717611065,1.142180080,2.993462710,0.337778165,-0.945501164,0.980616592,-0.036831495,0.433072088,2.094395116
1770058528.251577854,1.000000000,-1.917235484,-1.274410659,1.969771374,-0.714521781,1.185977514,3.191448331,0.349066076,-0.835116362,0.761460703,0.089770732,0.431311584,1.824881662
