timestamp_absolute,timestamp_relative,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel
1770746279.938902378,0.000000000,-1.711773221,-1.521274869,2.117831945,-0.599442784,1.419188976,1.332234979,-0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000
1770746280.038902283,0.100000000,-1.711903700,-1.522027839,2.118578744,-0.599436424,1.419058417,1.357234979,-0.002609586,-0.015059413,0.014935975,0.000127204,-0.002611184,0.500000000
1770746280.138902426,0.200000000,-1.712296791,-1.524289542,2.120816867,-0.599412277,1.418665106,1.432234697,-0.005251399,-0.030173244,0.029827698,0.000353109,-0.005254204,0.999995183
1770746280.238902330,0.300000000,-1.712956795,-1.528067242,2.124540468,-0.599357230,1.418004796,1.557233624,-0.007955484,-0.045392326,0.044635449,0.000768293,-0.007958736,1.499985576
1770746280.338902473,0.400000000,-1.713890722,-1.533372801,2.129740224,-0.599250090,1.417070560,1.732231759,-0.010740265,-0.060747934,0.059337263,0.001426011,-0.010742970,1.999976923
1770746280.438902378,0.500000000,-1.715019170,-1.539721675,2.135916502,-0.599075886,1.415941935,1.940779144,-0.011417984,-0.063904457,0.061916511,0.002004161,-0.011418707,2.094395102
1770746280.538902283,0.600000000,-1.716169760,-1.546126980,2.142096927,-0.598849377,1.414791382,2.150218656,-0.011592675,-0.064199693,0.061694225,0.002521847,-0.011591222,2.094395102
1770746280.638902426,0.700000000,-1.717338111,-1.552562290,2.148255003,-0.598570496,1.413623289,2.359658168,-0.011771512,-0.064501651,0.061471638,0.003046576,-0.011767817,2.094395102
1770746280.738902330,0.800000000,-1.718524651,-1.559028291,2.154390698,-0.598238523,1.412437238,2.569097680,-0.011954631,-0.064810452,0.061248691,0.003578536,-0.011948630,2.094395102
1770746280.838902473,0.900000000,-1.719729818,-1.565525678,2.160503970,-0.597852718,1.411232793,2.778537192,-0.012142175,-0.065126222,0.061025327,0.004117917,-0.012133808,2.094395102
1770746280.938902378,1.000000000,-1.720954066,-1.572055164,2.166594776,-0.597412321,1.410009508,2.987976704,-0.012334293,-0.065449091,0.060801488,0.004664913,-0.012323503,2.094395102
1770746281.038902283,1.100000000,-1.722197866,-1.578617471,2.172663064,-0.596916554,1.408766917,3.197416216,-0.012531140,-0.065779194,0.060577115,0.005219720,-0.012517878,2.094395102
1770746281.138902426,1.200000000,-1.723461704,-1.585213337,2.178708777,-0.596364618,1.407504539,3.406855729,-0.012732879,-0.066116668,0.060352152,0.005782537,-0.012717103,2.094395102
1770746281.238902330,1.300000000,-1.724647325,-1.591336268,2.184272959,-0.595804184,1.406320493,3.600310512,-0.010469546,-0.053774381,0.048648616,0.005140693,-0.010454717,1.694583144
1770746281.338902473,1.400000000,-1.725544348,-1.595927904,2.188415247,-0.595353553,1.405424790,3.744768609,-0.007460688,-0.038041299,0.034208333,0.003843668,-0.007449255,1.194578974
1770746281.438902378,1.500000000,-1.726136340,-1.598939330,2.191117986,-0.595044015,1.404833727,3.839226399,-0.004373479,-0.022177772,0.019852540,0.002331537,-0.004366401,0.694576880
1770746281.538902283,1.600000000,-1.726416537,-1.600359297,2.192388407,-0.594894065,1.404553986,3.883684070,-0.001228518,-0.006218361,0.005557914,0.000662221,-0.001226495,0.194576543
1770746281.638902426,1.700000000,-1.726538991,-1.600979028,2.192942270,-0.594828020,1.404431734,3.879356700,-0.000000302,-0.000000388,-0.000000214,0.000000603,-0.000000300,-0.284441489
1770746281.738902330,1.800000000,-1.726539048,-1.600979101,2.192942230,-0.594827907,1.404431677,3.825913172,-0.000000832,-0.000001070,-0.000000592,0.000001663,-0.000000827,-0.784432546
1770746281.838902473,1.900000000,-1.726539158,-1.600979242,2.192942151,-0.594827688,1.404431568,3.722470155,-0.000001363,-0.000001752,-0.000000969,0.000002725,-0.000001354,-1.284427076
1770746281.938902378,2.000000000,-1.726539279,-1.600979369,2.192942090,-0.594827498,1.404431447,3.569027702,-0.000000384,0.000000583,0.000000639,-0.000001220,-0.000000394,-1.784421996
1770746282.038902283,2.100000000,-1.726539322,-1.600979304,2.192942161,-0.594827635,1.404431403,3.369197004,-0.000000451,0.000000684,0.000000749,-0.000001432,-0.000000462,-2.094395102
1770746282.138902426,2.200000000,-1.726539399,-1.600979248,2.192942233,-0.594827762,1.404431325,3.159757493,-0.000000840,0.000000529,0.000000716,-0.000001241,-0.000000850,-2.094395102
1770746282.238902330,2.300000000,-1.726539498,-1.600979204,2.192942301,-0.594827873,1.404431225,2.950317983,-0.000001160,0.000000331,0.000000625,-0.000000950,-0.000001168,-2.094395102
1770746282.338902473,2.400000000,-1.726539616,-1.600979173,2.192942362,-0.594827965,1.404431106,2.740878473,-0.000001387,0.000000107,0.000000483,-0.000000582,-0.000001392,-2.094395102
1770746282.438902378,2.500000000,-1.726539755,-1.600979162,2.192942410,-0.594828023,1.404430967,2.531438963,-0.000001387,0.000000107,0.000000483,-0.000000582,-0.000001392,-2.094395102
1770746282.538902283,2.600000000,-1.726539902,-1.600979169,2.192942445,-0.594828051,1.404430820,2.321999452,-0.000001502,-0.000000127,0.000000302,-0.000000167,-0.000001503,-2.094395102
1770746282.638902426,2.700000000,-1.726540052,-1.600979190,2.192942468,-0.594828052,1.404430670,2.112559942,-0.000001494,-0.000000350,0.000000097,0.000000261,-0.000001493,-2.094395102
1770746282.738902330,2.800000000,-1.726540201,-1.600979225,2.192942477,-0.594828026,1.404430520,1.903120432,-0.000001366,-0.000000545,-0.000000117,0.000000669,-0.000001361,-2.094395102
1770746282.838902473,2.900000000,-1.726540336,-1.600979278,2.192942466,-0.594827960,1.404430387,1.697259693,-0.000001243,-0.000000495,-0.000000106,0.000000608,-0.000001238,-1.905218691
1770746282.938902378,3.000000000,-1.726540434,-1.600979328,2.192942448,-0.594827892,1.404430289,1.531737824,-0.000000756,-0.000000466,-0.000000215,0.000000686,-0.000000751,-1.405218691
1770746283.038902283,3.100000000,-1.726540496,-1.600979366,2.192942431,-0.594827836,1.404430227,1.416215955,-0.000000487,-0.000000300,-0.000000139,0.000000442,-0.000000484,-0.905218691
1770746283.138902426,3.200000000,-1.726540531,-1.600979388,2.192942421,-0.594827804,1.404430192,1.350694086,-0.000000218,-0.000000135,-0.000000062,0.000000198,-0.000000217,-0.405218691
1770746283.238902330,3.300000000,-1.725483531,-1.595790505,2.187904288,-0.594979996,1.405488907,1.332936817,0.022975682,0.112788149,-0.109511144,-0.003308345,0.023012918,0.053305745
1770746283.338902473,3.400000000,-1.724936316,-1.593104256,2.185296100,-0.595058807,1.406036994,1.360493236,0.000000208,0.000000147,0.000000100,-0.000000322,-0.000000097,0.512169428
1770746283.438902378,3.500000000,-1.724936284,-1.593104233,2.185296116,-0.595058859,1.406036981,1.436709722,0.000000422,0.000000297,0.000000225,-0.000000736,-0.000000162,1.012160698
1770746283.538902283,3.600000000,-1.724936231,-1.593104196,2.185296145,-0.595058957,1.406036963,1.562925440,0.000000657,0.000000458,0.000000381,-0.000001267,-0.000000169,1.512153554
1770746283.638902426,3.700000000,-1.724936128,-1.593104148,2.185296166,-0.595059043,1.406037035,1.739140385,0.000001300,0.000000518,0.000000112,-0.000000639,0.000001295,2.012145337
1770746283.738902330,3.800000000,-1.724935991,-1.593104098,2.185296173,-0.595059100,1.406037172,1.947902767,0.000001479,0.000000346,-0.000000096,-0.000000258,0.000001478,2.094395102
1770746283.838902473,3.900000000,-1.724935843,-1.593104064,2.185296164,-0.595059126,1.406037320,2.157342277,0.000001479,0.000000346,-0.000000096,-0.000000258,0.000001478,2.094395102
1770746283.938902378,4.000000000,-1.724935694,-1.593104048,2.185296137,-0.595059116,1.406037469,2.366781788,0.000001487,0.000000124,-0.000000300,0.000000169,0.000001488,2.094395102
1770746284.038902283,4.100000000,-1.724935551,-1.593104047,2.185296098,-0.595059079,1.406037612,2.576221298,0.000001373,-0.000000108,-0.000000480,0.000000582,0.000001378,2.094395102
1770746284.138902426,4.200000000,-1.724935416,-1.593104060,2.185296048,-0.595059016,1.406037747,2.785660808,0.000001149,-0.000000332,-0.000000622,0.000000947,0.000001157,2.094395102
1770746284.238902330,4.300000000,-1.724935302,-1.593104093,2.185295986,-0.595058922,1.406037863,2.995100318,0.000001149,-0.000000332,-0.000000622,0.000000947,0.000001157,2.094395102
1770746284.338902473,4.400000000,-1.724935211,-1.593104141,2.185295917,-0.595058805,1.406037955,3.204539828,0.000000831,-0.000000528,-0.000000712,0.000001236,0.000000841,2.094395102
1770746284.438902378,4.500000000,-1.724935143,-1.593104200,2.185295845,-0.595058674,1.406038024,3.413979339,0.000000446,-0.000000682,-0.000000745,0.000001425,0.000000458,2.094395102
1770746284.538902283,4.600000000,-1.724935099,-1.593104269,2.185295770,-0.595058531,1.406038068,3.623418849,0.000000025,-0.000000780,-0.000000718,0.000001498,0.000000037,2.094395102
1770746284.638902426,4.700000000,-1.724935097,-1.593104345,2.185295700,-0.595058384,1.406038072,3.828790070,0.000000023,-0.000000705,-0.000000649,0.000001354,0.000000034,1.892695097
1770746284.738902330,4.800000000,-1.724935113,-1.593104408,2.185295647,-0.595058269,1.406038057,3.993059580,-0.000000265,-0.000000542,-0.000000421,0.000000964,-0.000000257,1.392695097
1770746284.838902473,4.900000000,-1.724935135,-1.593104452,2.185295613,-0.595058190,1.406038036,4.107329089,-0.000000170,-0.000000347,-0.000000270,0.000000618,-0.000000165,0.892695097
1770746284.938902378,5.000000000,-1.724935147,-1.593104477,2.185295593,-0.595058145,1.406038024,4.171598599,-0.000000075,-0.000000153,-0.000000119,0.000000272,-0.000000072,0.392695097
1770746285.038902283,5.100000000,-1.723845470,-1.587681975,2.179975504,-0.595162034,1.407129735,4.188166887,0.022130966,0.110128993,-0.108048743,-0.002110243,0.022172246,-0.066365127
1770746285.138902426,5.200000000,-1.723362698,-1.585279587,2.177618517,-0.595208097,1.407613393,4.159374714,0.000000051,0.000000191,0.000000214,-0.000000564,-0.000000226,-0.525657626
1770746285.238902330,5.300000000,-1.723362691,-1.585279560,2.177618547,-0.595208176,1.407613357,4.081809571,0.000000085,0.000000365,0.000000394,-0.000001008,-0.000000487,-1.025647511
1770746285.338902473,5.400000000,-1.723362681,-1.585279515,2.177618594,-0.595208295,1.407613294,3.954245191,0.000000104,0.000000530,0.000000540,-0.000001328,-0.000000786,-1.525640395
1770746285.438902378,5.500000000,-1.723362680,-1.585279450,2.177618655,-0.595208428,1.407613265,3.776681583,-0.000000024,0.000000751,0.000000690,-0.000001439,-0.000000036,-2.025632050
