timestamp_absolute,timestamp_relative,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel
1773395962.122380257,0.000000000,-2.089079205,-0.496980969,0.889028013,-0.364085023,0.961971998,1.557906985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1773395962.222380161,0.100000000,-2.088926411,-0.498807039,0.892253866,-0.365650084,0.962136881,1.560865019,0.001527941,-0.018260701,0.032258529,-0.015650616,0.001648831,0.029580334
1773395962.322380304,0.200000000,-2.088756087,-0.500827721,0.895819715,-0.367378751,0.962321294,1.564151590,0.001703245,-0.020206819,0.035658497,-0.017286668,0.001844125,0.032865710
1773395962.422380209,0.300000000,-2.088585285,-0.502841600,0.899370398,-0.369098929,0.962506732,1.567438047,0.001708013,-0.020138788,0.035506824,-0.017201784,0.001854385,0.032864574
1773395962.522380352,0.400000000,-2.088414043,-0.504849360,0.902907417,-0.370811448,0.962693113,1.570724399,0.001712426,-0.020077596,0.035370188,-0.017125184,0.001863806,0.032863523
1773395962.622380257,0.500000000,-2.088242358,-0.506851075,0.906430924,-0.372516381,0.962880436,1.574010645,0.001716845,-0.020017155,0.035235074,-0.017049336,0.001873228,0.032862457
1773395962.722380161,0.600000000,-2.088070231,-0.508846823,0.909941074,-0.374213806,0.963068701,1.577296783,0.001721270,-0.019957474,0.035101501,-0.016974247,0.001882650,0.032861376
1773395962.822380304,0.700000000,-2.087897661,-0.510836676,0.913438018,-0.375903796,0.963257908,1.580582811,0.001725701,-0.019898539,0.034969438,-0.016899902,0.001892072,0.032860280
1773395962.922380209,0.799999999,-2.087724647,-0.512820710,0.916921904,-0.377586425,0.963448057,1.583868728,0.001730139,-0.019840335,0.034838857,-0.016826287,0.001901494,0.032859170
1773395963.022380352,0.899999998,-2.087551189,-0.514798995,0.920392876,-0.379261764,0.963639149,1.587154532,0.001734582,-0.019782848,0.034709729,-0.016753386,0.001910916,0.032858045
1773395963.122380257,0.999999998,-2.087377286,-0.516771601,0.923851079,-0.380929882,0.963831183,1.590440223,0.001739032,-0.019726066,0.034582027,-0.016681186,0.001920339,0.032856905
1773395963.222380161,1.099999999,-2.087202937,-0.518738599,0.927296652,-0.382590850,0.964024159,1.593725798,0.001743489,-0.019669976,0.034455724,-0.016609673,0.001929762,0.032855750
1773395963.322380304,1.200000000,-2.087028142,-0.520700055,0.930729731,-0.384244733,0.964218077,1.597011256,0.001747952,-0.019614565,0.034330794,-0.016538833,0.001939186,0.032854581
1773395963.422380209,1.300000000,-2.086852900,-0.522656037,0.934150452,-0.385891598,0.964412939,1.600296595,0.001752422,-0.019559820,0.034207212,-0.016468652,0.001948611,0.032853397
1773395963.522380352,1.400000000,-2.086677210,-0.524606610,0.937558947,-0.387531510,0.964608742,1.603581815,0.001756898,-0.019505731,0.034084952,-0.016399119,0.001958036,0.032852199
1773395963.622380257,1.500000000,-2.086501072,-0.526551839,0.940955346,-0.389164532,0.964805488,1.606866914,0.001761382,-0.019452285,0.033963991,-0.016330221,0.001967462,0.032850986
1773395963.722380161,1.600000000,-2.086324484,-0.528491786,0.944339777,-0.390790727,0.965003177,1.610151890,0.001765872,-0.019399470,0.033844305,-0.016261945,0.001976890,0.032849759
1773395963.822380304,1.700000000,-2.086147447,-0.530426514,0.947712364,-0.392410155,0.965201809,1.613436742,0.001770369,-0.019347277,0.033725871,-0.016194280,0.001986318,0.032848518
1773395963.922380209,1.800000000,-2.085969960,-0.532356083,0.951073231,-0.394022876,0.965401384,1.616721468,0.001774874,-0.019295694,0.033608667,-0.016127214,0.001995748,0.032847262
1773395964.022380352,1.900000000,-2.085792022,-0.534280554,0.954422498,-0.395628950,0.965601902,1.620006067,0.001779385,-0.019244710,0.033492670,-0.016060736,0.002005178,0.032845992
1773395964.122380257,2.000000000,-2.085613631,-0.536199986,0.957760284,-0.397228433,0.965803363,1.623290538,0.001783904,-0.019194316,0.033377860,-0.015994835,0.002014610,0.032844708
